time: 6, x: 1802, y: 195.33331298828125, sound: 1
time: 24.5, x: 1789, y: 198.33331298828125, sound: 1
time: 36.6000000089407, x: 1778, y: 198.33331298828125, sound: 1
time: 41.1000000089407, x: 1776, y: 198.33331298828125, sound: 1
time: 57.70000000298023, x: 1773, y: 201.33331298828125, sound: 1
time: 122.20000000298023, x: 1080, y: 201.33331298828125, sound: 1
time: 122.29999999701977, x: 1080, y: 201.33331298828125, sound: 1
time: 138.79999999701977, x: 1133, y: 203.33331298828125, sound: 1
time: 139, x: 1133, y: 203.33331298828125, sound: 1
time: 155.5, x: 1178, y: 206.33331298828125, sound: 1
time: 155.70000000298023, x: 1178, y: 206.33331298828125, sound: 1
time: 172.20000000298023, x: 1210, y: 206.33331298828125, sound: 1
time: 172.3999999910593, x: 1210, y: 206.33331298828125, sound: 1
time: 188.8999999910593, x: 1242, y: 209.33331298828125, sound: 1
time: 189, x: 1242, y: 209.33331298828125, sound: 1
time: 205.59999999403954, x: 1264, y: 209.33331298828125, sound: 1
time: 205.79999999701977, x: 1264, y: 209.33331298828125, sound: 1
time: 222.20000000298023, x: 1296, y: 209.33331298828125, sound: 1
time: 222.29999999701977, x: 1296, y: 209.33331298828125, sound: 1
time: 238.79999999701977, x: 1330, y: 209.33331298828125, sound: 1
time: 238.8999999910593, x: 1330, y: 209.33331298828125, sound: 1
time: 255.5, x: 1362, y: 209.33331298828125, sound: 1
time: 255.70000000298023, x: 1362, y: 209.33331298828125, sound: 1
time: 272.20000000298023, x: 1402, y: 211.33331298828125, sound: 1
time: 272.3999999910593, x: 1402, y: 211.33331298828125, sound: 1
time: 288.8999999910593, x: 1434, y: 211.33331298828125, sound: 1
time: 289.09999999403954, x: 1434, y: 211.33331298828125, sound: 1
time: 305.5, x: 1458, y: 211.33331298828125, sound: 1
time: 305.59999999403954, x: 1458, y: 211.33331298828125, sound: 1
time: 322.29999999701977, x: 1480, y: 211.33331298828125, sound: 1
time: 322.5, x: 1480, y: 211.33331298828125, sound: 1
time: 338.79999999701977, x: 1504, y: 214.33331298828125, sound: 1
time: 339, x: 1504, y: 214.33331298828125, sound: 1
time: 355.3999999910593, x: 1525, y: 214.33331298828125, sound: 1
time: 355.5, x: 1525, y: 214.33331298828125, sound: 1
time: 372.29999999701977, x: 1554, y: 214.33331298828125, sound: 1
time: 372.3999999910593, x: 1554, y: 214.33331298828125, sound: 1
time: 388.79999999701977, x: 1597, y: 214.33331298828125, sound: 1
time: 388.8999999910593, x: 1597, y: 214.33331298828125, sound: 1
time: 405.5, x: 1650, y: 217.33331298828125, sound: 1
time: 405.70000000298023, x: 1650, y: 217.33331298828125, sound: 1
time: 422.20000000298023, x: 1704, y: 217.33331298828125, sound: 1
