time: 6.300000000745058, x: 289, y: 98.33332824707031, sound: 1
time: 6.699999999254942, x: 289, y: 98.33332824707031, sound: 1
time: 7.000000007450581, x: 598, y: 140.3333282470703, sound: 1
time: 22.699999999254942, x: 298, y: 97.33332824707031, sound: 1
time: 22.899999998509884, x: 298, y: 97.33332824707031, sound: 1
time: 23.600000008940697, x: 593, y: 149.3333282470703, sound: 1
time: 30.099999997764826, x: 301, y: 97.33332824707031, sound: 1
time: 39.5, x: 305, y: 97.33332824707031, sound: 1
time: 39.599999997764826, x: 305, y: 97.33332824707031, sound: 1
time: 41.30000000819564, x: 590, y: 158.3333282470703, sound: 1
time: 57.00000000745058, x: 589, y: 166.3333282470703, sound: 1
time: 58.599999997764826, x: 311, y: 97.33332824707031, sound: 1
time: 58.69999999925494, x: 311, y: 97.33332824707031, sound: 1
time: 61.399999998509884, x: 312, y: 97.33332824707031, sound: 1
time: 72.59999999776483, x: 316, y: 98.33332824707031, sound: 1
time: 72.80000000074506, x: 316, y: 98.33332824707031, sound: 1
time: 73.50000000745058, x: 588, y: 176.3333282470703, sound: 1
time: 89.5, x: 323, y: 100.33332824707031, sound: 1
time: 89.69999999925494, x: 323, y: 100.33332824707031, sound: 1
time: 90.20000000670552, x: 587, y: 186.3333282470703, sound: 1
time: 91.80000000074506, x: 324, y: 100.33332824707031, sound: 1
time: 105.89999999850988, x: 330, y: 103.33332824707031, sound: 1
time: 106.09999999776483, x: 330, y: 103.33332824707031, sound: 1
time: 107.00000000745058, x: 587, y: 198.3333282470703, sound: 1
time: 122.19999999925494, x: 338, y: 106.33332824707031, sound: 1
time: 123.09999999776483, x: 339, y: 106.33332824707031, sound: 1
time: 123.19999999925494, x: 339, y: 106.33332824707031, sound: 1
time: 123.6000000089407, x: 590, y: 209.3333282470703, sound: 1
time: 139.39999999850988, x: 344, y: 110.33332824707031, sound: 1
time: 139.5, x: 344, y: 110.33332824707031, sound: 1
time: 140.20000000670552, x: 594, y: 219.3333282470703, sound: 1
time: 152.69999999925494, x: 349, y: 114.33332824707031, sound: 1
time: 156.09999999776483, x: 350, y: 115.33332824707031, sound: 1
time: 156.19999999925494, x: 350, y: 115.33332824707031, sound: 1
time: 157.00000000745058, x: 598, y: 226.3333282470703, sound: 1
time: 172.80000000074506, x: 355, y: 119.33332824707031, sound: 1
time: 173, x: 355, y: 119.33332824707031, sound: 1
time: 173.90000000596046, x: 604, y: 232.3333282470703, sound: 1
time: 183, x: 357, y: 120.33332824707031, sound: 1
time: 189.30000000074506, x: 360, y: 122.33332824707031, sound: 1
time: 189.39999999850988, x: 360, y: 122.33332824707031, sound: 1
time: 191.90000000596046, x: 610, y: 240.3333282470703, sound: 1
time: 206.09999999776483, x: 364, y: 128.3333282470703, sound: 1
time: 206.19999999925494, x: 364, y: 128.3333282470703, sound: 1
time: 206.90000000596046, x: 619, y: 248.3333282470703, sound: 1
time: 221, x: 370, y: 134.3333282470703, sound: 1
time: 222.69999999925494, x: 371, y: 134.3333282470703, sound: 1
time: 222.69999999925494, x: 371, y: 134.3333282470703, sound: 1
time: 223.6000000089407, x: 626, y: 253.3333282470703, sound: 1
time: 239.39999999850988, x: 378, y: 141.3333282470703, sound: 1
time: 239.59999999776483, x: 378, y: 141.3333282470703, sound: 1
time: 240.1000000089407, x: 634, y: 258.3333282470703, sound: 1
time: 246.5, x: 380, y: 144.3333282470703, sound: 1
time: 256, x: 383, y: 147.3333282470703, sound: 1
time: 256.0999999977648, x: 383, y: 147.3333282470703, sound: 1
time: 256.90000000596046, x: 643, y: 264.3333282470703, sound: 1
time: 272.69999999925494, x: 386, y: 152.3333282470703, sound: 1
time: 272.69999999925494, x: 386, y: 152.3333282470703, sound: 1
time: 273.5000000074506, x: 652, y: 267.3333282470703, sound: 1
time: 274.30000000074506, x: 387, y: 152.3333282470703, sound: 1
time: 289.30000000074506, x: 390, y: 156.3333282470703, sound: 1
time: 289.3999999985099, x: 390, y: 156.3333282470703, sound: 1
time: 290.2000000067055, x: 660, y: 271.3333282470703, sound: 1
time: 304.8999999985099, x: 394, y: 162.3333282470703, sound: 1
time: 305.8999999985099, x: 394, y: 162.3333282470703, sound: 1
time: 306, x: 394, y: 162.3333282470703, sound: 1
time: 306.90000000596046, x: 670, y: 274.3333282470703, sound: 1
time: 322.69999999925494, x: 398, y: 169.3333282470703, sound: 1
time: 322.80000000074506, x: 398, y: 169.3333282470703, sound: 1
time: 323.5000000074506, x: 680, y: 275.3333282470703, sound: 1
time: 335.30000000074506, x: 402, y: 174.3333282470703, sound: 1
time: 340.19999999925494, x: 402, y: 174.3333282470703, sound: 1
time: 340.2000000067055, x: 691, y: 275.3333282470703, sound: 1
time: 340.30000000074506, x: 402, y: 174.3333282470703, sound: 1
time: 356, x: 406, y: 180.3333282470703, sound: 1
time: 356.0999999977648, x: 406, y: 180.3333282470703, sound: 1
time: 357.0000000074506, x: 704, y: 274.3333282470703, sound: 1
time: 365.5, x: 408, y: 184.3333282470703, sound: 1
time: 372.80000000074506, x: 410, y: 186.3333282470703, sound: 1
time: 372.80000000074506, x: 410, y: 186.3333282470703, sound: 1
time: 373.6000000089407, x: 717, y: 273.3333282470703, sound: 1
time: 381.5000000074506, x: 722, y: 272.3333282470703, sound: 1
time: 389.3999999985099, x: 416, y: 193.3333282470703, sound: 1
time: 389.5999999977648, x: 416, y: 193.3333282470703, sound: 1
time: 390.2000000067055, x: 728, y: 272.3333282470703, sound: 1
time: 396.3999999985099, x: 417, y: 195.3333282470703, sound: 1
time: 406, x: 422, y: 199.3333282470703, sound: 1
time: 406.19999999925494, x: 422, y: 199.3333282470703, sound: 1
time: 406.90000000596046, x: 736, y: 268.3333282470703, sound: 1
time: 411.80000000819564, x: 738, y: 268.3333282470703, sound: 1
time: 422.69999999925494, x: 428, y: 204.3333282470703, sound: 1
time: 422.8999999985099, x: 428, y: 204.3333282470703, sound: 1
time: 423.5000000074506, x: 746, y: 266.3333282470703, sound: 1
time: 439.3999999985099, x: 434, y: 206.3333282470703, sound: 1
time: 439.5, x: 434, y: 206.3333282470703, sound: 1
time: 440.40000000596046, x: 754, y: 262.3333282470703, sound: 1
time: 445.1000000089407, x: 758, y: 261.3333282470703, sound: 1
time: 456, x: 440, y: 208.3333282470703, sound: 1
time: 456.0999999977648, x: 440, y: 208.3333282470703, sound: 1
time: 456.8999999985099, x: 440, y: 209.3333282470703, sound: 1
time: 457.0000000074506, x: 768, y: 257.3333282470703, sound: 1
time: 472.7000000067055, x: 780, y: 251.3333282470703, sound: 1
time: 472.80000000074506, x: 448, y: 211.3333282470703, sound: 1
time: 472.80000000074506, x: 448, y: 211.3333282470703, sound: 1
time: 473.5000000074506, x: 782, y: 250.3333282470703, sound: 1
time: 487.5999999977648, x: 458, y: 213.3333282470703, sound: 1
time: 489.30000000074506, x: 460, y: 213.3333282470703, sound: 1
time: 489.3999999985099, x: 460, y: 213.3333282470703, sound: 1
time: 490.30000000819564, x: 792, y: 245.3333282470703, sound: 1
time: 503.30000000819564, x: 797, y: 240.3333282470703, sound: 1
time: 505.8999999985099, x: 474, y: 214.3333282470703, sound: 1
time: 506.0999999977648, x: 474, y: 214.3333282470703, sound: 1
time: 507.0000000074506, x: 798, y: 240.3333282470703, sound: 1
time: 517.8999999985099, x: 485, y: 214.3333282470703, sound: 1
time: 522.5999999977648, x: 488, y: 214.3333282470703, sound: 1
time: 522.8000000007451, x: 488, y: 214.3333282470703, sound: 1
time: 523.6000000089407, x: 804, y: 232.3333282470703, sound: 1
time: 533.8000000081956, x: 806, y: 228.3333282470703, sound: 1
time: 539.3999999985099, x: 500, y: 210.3333282470703, sound: 1
time: 539.5, x: 500, y: 210.3333282470703, sound: 1
time: 540.2000000067055, x: 808, y: 226.3333282470703, sound: 1
